File Used,Matching Request Item From File,Applicable Department
17.1 Consolidated Due Diligence Request List - Generic.xlsx,. Provide copy of testplans/test reports,"IT, Product, Engineering"
17.1 Consolidated Due Diligence Request List - Generic.xlsx,· What QA test case and issue management tools are used?,"IT, Product, Engineering"
17.1 Consolidated Due Diligence Request List - Generic.xlsx,To what extent is testing automated?,"IT, Product, Engineering"
17.1 Consolidated Due Diligence Request List - Generic.xlsx,· What testing tools are used for regression testing and performance testing?,"IT, Product, Engineering"
17.1 Consolidated Due Diligence Request List - Generic.xlsx,· Languages supported. Complexity of adding support for an additional language.,"IT, Product, Engineering"
17.1 Consolidated Due Diligence Request List - Generic.xlsx,· What is the process to localize the application?,"IT, Product, Engineering"
17.1 Consolidated Due Diligence Request List - Generic.xlsx,What type of client software is required?,"IT, Product, Engineering"
17.1 Consolidated Due Diligence Request List - Generic.xlsx,Does it require installation on client desktop?,"IT, Product, Engineering"
17.1 Consolidated Due Diligence Request List - Generic.xlsx,"What are the requirements for the client environment (supported browsers, OSs, .NET libraries, etc.)?","IT, Product, Engineering"
17.1 Consolidated Due Diligence Request List - Generic.xlsx,How is fault tolerance achieved by the solution?,"IT, Product, Engineering"
17.1 Consolidated Due Diligence Request List - Generic.xlsx,"What is the redundancy architecture, data replication and Fail-over mechanisms?","IT, Product, Engineering"
17.1 Consolidated Due Diligence Request List - Generic.xlsx,Do you have any single points of failure?,"IT, Product, Engineering"
17.1 Consolidated Due Diligence Request List - Generic.xlsx,Provide details of disaster recovery and/or business continuity plans including all test results,"IT, Product, Engineering"
17.1 Consolidated Due Diligence Request List - Generic.xlsx,"Do you have a formal written DR/contingency plan? If so, please include as an attachment","IT, Product, Engineering"
17.1 Consolidated Due Diligence Request List - Generic.xlsx,"Are there any SLAs, explicit or implicit, particularly around Response time, Availability Objective, Fail-over time, Recovery Time Objective, Recovery Point Objective, Planned Maintenance windows, etc.","IT, Product, Engineering"
17.1 Consolidated Due Diligence Request List - Generic.xlsx,Provide details of all current compliance standards met or certifications held.,"IT, Product, Engineering"
17.1 Consolidated Due Diligence Request List - Generic.xlsx,Is your UI ADA compliant?,"IT, Product, Engineering"
17.1 Consolidated Due Diligence Request List - Generic.xlsx,Describe the content acquisition process. Is content proprietary? Licensed? Public?,"IT, Product, Engineering"
17.1 Consolidated Due Diligence Request List - Generic.xlsx,Describe the content creation process,"IT, Product, Engineering"
17.1 Consolidated Due Diligence Request List - Generic.xlsx,How is access to content controlled?,"IT, Product, Engineering"
17.1 Consolidated Due Diligence Request List - Generic.xlsx,Is content tested and/or certified?,"IT, Product, Engineering"
17.1 Consolidated Due Diligence Request List - Generic.xlsx,"How is content maintained, updated, archived?","IT, Product, Engineering"
17.1 Consolidated Due Diligence Request List - Generic.xlsx,"Describe content dynamics? Rate of change, update frequency, etc.","IT, Product, Engineering"
17.1 Consolidated Due Diligence Request List - Generic.xlsx,"Provide organization charts, headcounts, titles, years of experience, and key skills as appropriate for technology and operations resources. Identify primary locations where resources are locationed. Differentiate between internal resources (employees) and contract/outsourced resources.","IT, Product, Engineering"
17.1 Consolidated Due Diligence Request List - Generic.xlsx,"Do you use Native Apps, Responsive Design, HTML5","IT, Product, Engineering"
17.1 Consolidated Due Diligence Request List - Generic.xlsx,"Describe recommended strategy for separation of critical resources (hosting, licenses, proprietary tools, human resources, from parent)","IT, Product, Engineering"
17.4 5.2 SellDD.xlsx,"Balance sheet, income statements, cash flow statements and detail level trial balances; balance sheet reconciliations for the past year and details of all outstanding items from those reconciliations","IT, Product, Engineering"
17.4 5.2 SellDD.xlsx,Management or factory accounts per month,"IT, Product, Engineering"
17.4 5.2 SellDD.xlsx,General ledgers,"IT, Product, Engineering"
17.4 5.2 SellDD.xlsx,"Unusual, non-recurring and extraordinary revenue and expense","IT, Product, Engineering"
17.4 5.2 SellDD.xlsx,Details of changes in accounting principles or method for the last five years and most recent interim period,"IT, Product, Engineering"
17.4 5.2 SellDD.xlsx,Details of financial instruments employed including interest rates and currency swaps/hedges,"IT, Product, Engineering"
17.4 5.2 SellDD.xlsx,"Details of off-balance-sheet financing arrangements or other transactions that are not reflected on the financial statements, if applicable;","IT, Product, Engineering"
17.4 5.2 SellDD.xlsx,Details of the method used to allocate common costs between operating units,"IT, Product, Engineering"
17.4 5.2 SellDD.xlsx,"Details of related parties transactions including sales, purchases and services rendered/received","Product, Engineering"
17.4 5.2 SellDD.xlsx,Pricing details,"Product, Engineering"
17.4 5.2 SellDD.xlsx,Details of accounting policies and procedures including revenue recognition and basis for cost allocations,Finance
17.4 5.2 SellDD.xlsx,Details of year-end and nonrecurring adjustments,Finance
17.4 5.2 SellDD.xlsx,Accounting department organizational chart,Finance
17.4 5.2 SellDD.xlsx,"Details of profit distribution, and dividend policies",Finance
17.4 5.2 SellDD.xlsx,Copies of management letters regarding internal controls from external auditors and any internal audit reports for the last five years,Finance
17.4 5.2 SellDD.xlsx,"Schedule of accounts receivable by category (trade, non-trade, other, etc.) as at the relevant dates",Finance
17.4 5.2 SellDD.xlsx,Description of credit policies and terms,Finance
17.4 5.2 SellDD.xlsx,Aging analysis and trends as at relevant dates by client; Days Sales Outstanding average for each of the last five years,Finance
17.4 5.2 SellDD.xlsx,Analysis of allowance for uncollectible accounts and past write-offs for past 5 years,Finance
17.4 5.2 SellDD.xlsx,Description of billing and collection procedures,Finance
17.4 5.2 SellDD.xlsx,Detail of factored receivables with banks and financing arrangements involving receivables,Finance
17.4 5.2 SellDD.xlsx,Details of all accounts in dispute or in the process of legal collection,Finance
17.4 5.2 SellDD.xlsx,"Employee headcount by business unit, by location and by major department","Legal, HR"
17.4 5.2 SellDD.xlsx,"Details of trade union representation, including historical level of influence","Legal, HR"
17.4 5.2 SellDD.xlsx,Copies of severance policies,"Legal, HR"
17.4 5.2 SellDD.xlsx,List of individuals with “consultant/independent contractor” detailing services rendered and fees for the last two years,"Legal, HR"
17.4 5.2 SellDD.xlsx,Copy of employee benefit plan documents and employee handbooks or benefit summaries,"Legal, HR"
17.4 5.2 SellDD.xlsx,Copy of latest actuarial valuation report and details of any unfunded liabilities for any pension plan,"Legal, HR"
17.4 5.2 SellDD.xlsx,"Copy of all material collective bargaining agreements and all material employment, consulting, termination and severance agreements","Legal, HR"
17.4 5.2 SellDD.xlsx,"A list of the total payroll, including, for example, labor duties, as well as fringe benefits, and documents representing any bonus, retirement, profit sharing, incentive compensation, pension and other employee benefit plan or agreements currently in effect","Legal, HR"
17.4 5.2 SellDD.xlsx,Details of provisions for vacations and 13th month salary (if applicable) as at latest date.Details of provisions for vacations and 13th month salary (if applicable) as at latest date.Details of provisions for vacations and 13th month salary (if applicable) as at latest date.,"Legal, HR"
17.4 5.2 SellDD.xlsx,A description of any and all strikes and other labor disruptions and any claim of unfair labor practices or petitions filed with a government or regulatory agency,"Legal, HR"
17.4 5.2 SellDD.xlsx,"A list of all labor litigation in process, pending or threatened, and all material fines or penalties to which the business may become subject in connection with proceedings, investigations or inquires, annexed by an estimation of current value in dispute, together with the criteria adopted for the calculation of such estimation","Legal, HR"
17.4 5.2 SellDD.xlsx,"Presentation of relevant certifies, issued by the respective competent authorities","Legal, HR"
17.4 5.2 SellDD.xlsx,Description and qualification of any potential liability for the technical redundancy arising out of the proposed transaction,"Legal, HR"
17.4 5.2 SellDD.xlsx,Copies of all management contracts including details of any termination or retirement business payable,"Legal, HR"
17.4 5.2 SellDD.xlsx,Copies of all employment contracts,"Legal, HR"
17.4 5.2 SellDD.xlsx,Details of all key talent within the organization and job titles,"Legal, HR"
17.4 5.2 SellDD.xlsx,Provide copies of tax returns and all relevant workpapers,Tax
17.4 5.2 SellDD.xlsx,"Confirm those US States in which US state tax or local income tax is payable and provide copies of state tax and local tax returns filed. If not separately provided, provide all correspondence and workpapers relating to any state or local tax audits by local tax authorities",Tax
17.4 5.2 SellDD.xlsx,Copies of all tax returns and work-papers that are still open or able to be reviewed by the relevant tax authority; including employer tax filings and other withholding taxes. Details to include returns and assessments for non-statute barred years.,Tax
17.4 5.2 SellDD.xlsx,"Material correspondence with tax authorities for all open periods; including rulings, elections filed, and transfer pricing agreements as may apply to the businesses.",Tax
17.4 5.2 SellDD.xlsx,"With regard to tax audits, provide details of completed and signed off tax audits (income and all other taxes including but not limited to withholding taxes), audit adjustments or proposed adjustments including details on any disputed positions, closing agreements for recently settled examinations, as well as, in regard to uncompleted tax audits, status reports and information document requests for current examinations.",Tax
17.4 5.2 SellDD.xlsx,Provide copies of all tax advice provided to or in respect of the target entities provided by external or internal advisors.,Tax
17.4 5.2 SellDD.xlsx,"Provide details of tax accounting policies adopted in the preparation of the tax provisions in the target company accounts including details of all deferred tax balances, provisions for tax and reconciliations.",Tax
17.4 5.2 SellDD.xlsx,A copy of the relevant group structure chart including details of amalgamations and offshore interests held (if any).,Tax
17.4 5.2 SellDD.xlsx,All audit responses to the independent public accountants regarding tax and administrative litigation in which the Company is or may be involved for the past five years;,Tax
17.4 5.2 SellDD.xlsx,"Presentation of all relevant clearance certificates, issued by competent authorities.",Tax
17.4 5.2 SellDD.xlsx,"All material sales, commercial representatives, services, distribution, marketing, advertising, utilities, transportation, warehouse and construction contracts (including prospective agreements currently under negotiation), including any indemnities or bonds given in connection therewith, or any amendments, supplements or other agreements relating thereto;",Legal
17.4 5.2 SellDD.xlsx,All arrangements with the vendor and any related entity,Legal
17.4 5.2 SellDD.xlsx,"Any joint venture and partnership agreements other than those with Fonterra, including any amendments relating thereto;",Legal
17.4 5.2 SellDD.xlsx,"All licensing agreements (including software and other information technology licenses), technical assistance agreements and franchises including any amendments relating thereto;",Legal
17.4 5.2 SellDD.xlsx,"All milk supply and other purchase or requirements contracts, including contracts with principal customers or suppliers, including any amendments relating thereto;",Legal
17.4 5.2 SellDD.xlsx,"A schedule of all material insurance policies, including liability insurance policies and all correspondence relating to cancellation or non-renewal of any policy or material claims;",Legal
17.4 5.2 SellDD.xlsx,"All agreements with any government or governmental agency, other than supply contracts which may be covered in other items of this due diligence list;",Legal
17.4 5.2 SellDD.xlsx,"All secrecy, confidentiality and nondisclosure agreements;",Legal
17.4 5.2 SellDD.xlsx,"All documents, contracts or agreements to which directors, officers or related entities are parties;",Legal
17.4 5.2 SellDD.xlsx,"All amounts of and details on any receivables or payables involving directors, officers or related entities;",Legal
17.4 5.2 SellDD.xlsx,"All other material contracts, agreements, guarantees or other arrangements not otherwise covered by the foregoing.",Legal
17.4 5.2 SellDD.xlsx,Describe any other material contractual limitations to the participation of any of the vendor’s businesses in the Transaction.,Legal
17.2 HR Data Request - Generic.doc,"names and contact information of Company personnel who are able to discuss benefit plan provisions, administration, and financials.",HR
17.2 HR Data Request - Generic.doc,"Please provide an updated census in Excel to also include the following individual employee information: Pay Classification (Salaried/Hourly)
Full Time/Part Time
Average hours worked per week for part time employees
Date of Birth
Date of Hire
Base Pay & Bonus (separate)",HR
17.2 HR Data Request - Generic.doc,Copy of any formal bonus plans and actual and budgeted current and prior year payments. Indicate when the company pays out bonuses and the current bonus accrual.,HR
17.2 HR Data Request - Generic.doc,Confirm all employees are in the US,HR
17.2 HR Data Request - Generic.doc,Confirm no employees are represented by a collective bargaining unit,HR
17.2 HR Data Request - Generic.doc,Current vacation and/or sick leave accruals.,HR
17.2 HR Data Request - Generic.doc,Employee benefits manual and handbooks.,HR
17.2 HR Data Request - Generic.doc,Summary of any formal or informal severance policy. Indicate whether anyone is currently receiving severance payments and the corresponding amounts.,HR
17.2 HR Data Request - Generic.doc,Confirm all employees are offered participation in the same benefit platform,HR
17.2 HR Data Request - Generic.doc,Any employee communications summarizing or announcing benefits.,HR
17.2 HR Data Request - Generic.doc,"Please provide current and prior year P&L cost for each company-sponsored benefit plan (i.e., medical, dental, vision, life insurance, and disability should be separate entries). Please provide similar Trial balance information",HR
17.2 HR Data Request - Generic.doc,Confirm that the company does not offer a defined benefit pension plan or post-retirement medical or life insurance.,HR
17.2 HR Data Request - Generic.doc,401(k): Plan document or summary plan description; Provide the number of loans currently outstanding and the corresponding balances;,HR
17.2 HR Data Request - Generic.doc,"Confirm all health & welfare plans are fully-insured or for each self-insured plan provide: Monthly gross claims paid and corresponding headcount for the current and prior year;
Copy of any stop-loss policy including aggregate and individual attachment points;
Copy of Administrative Services Agreement;
List each employee or terminated employee (without names) with claims for themselves or covered dependents during the current or most recently completed plan year that exceeded $50,000;
Information regarding the company’s incurred but not reported (IBNR) reserve for any incurred claim liability for all self-funded welfare plans including the methodology used to develop the IBNR as well as the balance sheet reserve and current calculation.
Proof of payment of any healthcare reform fees for self-insured groups (i.e. PCORI and reinsurance fees).",HR
17.2 HR Data Request - Generic.doc,Plan document or summary plan descriptions for all healthcare plans.,HR
17.2 HR Data Request - Generic.doc,"Premium rates, employee contribution amounts and employee enrollment headcount for each plan and coverage tier.",HR
17.2 HR Data Request - Generic.doc,"Provide details and total cost of any healthcare credits, discounts or surcharges provided to employees (e.g., wellness credits, tobacco surcharge, spousal surcharge, etc.).",HR
17.2 HR Data Request - Generic.doc,"Provide the most recent premium statement for each fully-insured plan (e.g., medical dental, vision, life, disability, etc.).",HR
17.2 HR Data Request - Generic.doc,Any healthcare reform analysis prepared for the company.,HR
17.2 HR Data Request - Generic.doc,"Copy of all employment, non-compete, confidentiality, severance, transaction, change-in-control, and other agreements between the company and current or former employees.",HR
17.2 HR Data Request - Generic.doc,Are there any termination agreements for employees receiving termination payments?,HR
17.2 HR Data Request - Generic.doc,"Confirmation that the company does not offer deferred compensation, nonqualified retirement, corporate owned life insurance or long-term incentive plans.",HR
17.2 HR Data Request - Generic.doc,Description of other benefits and perquisites provided to executives that are not provided to rank-and-file employees.,HR
17.2 HR Data Request - Generic.doc,Please provide a list including external vendors (and brief description of functionality provided) of the systems currently deployed to support the delivery of HR/Benefits/Payroll services and annual costs associated with each of the systems,HR
17.2 HR Data Request - Generic.doc,"With respect to any leased employees or independent contractors, provide headcounts and payroll, and copies of the agreements (or a prototype contract).",HR
17.2 HR Data Request - Generic.doc,Indicate any benefits these employees receive and the employee/employer cost sharing arrangements for these benefits.,HR
17.2 HR Data Request - Generic.doc,"Statements as to any pending or recently completed IRS, DOL or government actions (including audits) or filings including statements on any pending benefit disputes, litigation or ERISA claims with potential liability not reflected in financial statements.",HR
17.5 5.3 Standard DD.xls,"The Articles of Associations in effect, and all amendments hereto, and registration certificates or similar documents for the Company and each of the Company's Significant Subsidiaries",Legal
17.5 5.3 Standard DD.xls,"The company's minute book, including all minutes and resolutions of shareholders, directors, officers, executive committees, and other governing groups",HR
17.5 5.3 Standard DD.xls,"Annual reports, interim reports, and any other communications to shareholders",HR
17.5 5.3 Standard DD.xls,"The company's organization chart including title, function, and responsibility",HR
17.5 5.3 Standard DD.xls,"List of all other corporations, partnerships, joint ventures or other entities in which the Company or any subsidiary owns an interest or has otherwise made an equity investment",HR
17.5 5.3 Standard DD.xls,"A list of all states, provinces, or countries where the Company owns or leases property, maintains employees, or conducts business",HR
17.5 5.3 Standard DD.xls,"All significant documents relating to any mergers, consolidations, reorganizations, acquisitions or dispositions for the past (3) years",HR
17.5 5.3 Standard DD.xls,Internal financial projections and all supporting information,HR
17.5 5.3 Standard DD.xls,The company's general ledger,HR
17.5 5.3 Standard DD.xls,Details of changes in accounting principles or method for the last (5) years and most recent interim period,HR
17.5 5.3 Standard DD.xls,Details of off-balance-sheet financing arrangements or other transactions that are not reflected on the financial statements,Finance
17.5 5.3 Standard DD.xls,"Breakdown of revenue, gross margin, and EBITDA by product and by channel for the last (3) fiscal years.",HR
17.5 5.3 Standard DD.xls,Summary of accounting policies to the extent not disclosed the financial statements,HR
17.5 5.3 Standard DD.xls,Copies of management letters regarding internal controls from external auditors and any internal audit reports for the last (5) years,HR
17.5 5.3 Standard DD.xls,"List (10) largest suppliers, by revenue and product for last (5) years",HR
17.5 5.3 Standard DD.xls,Aging analysis and trends as at relevant dates by client Days Sales Outstanding average for each of the last (5) years,HR
17.5 5.3 Standard DD.xls,Analysis of allowance for uncollectible accounts and past write-offs for past (5) years,Finance
17.5 5.3 Standard DD.xls,"List of all real property owned, leased or used by the Company, and copies of all deeds, lease agreements, sales contracts, title insurance policies, abstract reports, title opinions, mortgages, assignment or sublease contracts, building and site inspection reports, surveys and appraisals","Legal, HR"
17.5 5.3 Standard DD.xls,"Copies of all leases of real property to which the Company is a party, including location, square footage, rent, name of lessor and lessee, any material use restrictions, any restrictions on assignability or change of control provisions and any other material terms thereof","Legal, HR"
17.5 5.3 Standard DD.xls,"List all equipment owned by the Company, together with a description thereof, including: date of acquisition, original cost, depreciation schedule, method of depreciation, and estimated remaining useful life","Legal, HR"
17.5 5.3 Standard DD.xls,"List all equipment leased by the Company, together with a description thereof, including: age, remaining term, annual payments, and terms of any option to purchase such property","Legal, HR"
17.5 5.3 Standard DD.xls,"Specify whether any assets of the Company are subject to any liens, claims, mortgages, pledges, leases, restrictions or other encumbrances or charges. If any such restrictions or encumbrances are in writing, furnish copies thereof","Legal, HR"
17.5 5.3 Standard DD.xls,"List of all state, local, and foreign jurisdictions in which the Company and its subsidiaries pay taxes or collects sales taxes from its customers","Legal, HR"
17.5 5.3 Standard DD.xls,"Description of the tax status of the Company and its subsidiaries, and any related assets or liabilities",Tax
17.5 5.3 Standard DD.xls,"Copies of federal, state, and foreign tax returns (including VAT/GST/sales tax) filed with taxing authorities over the past (3) years by the Company and its subsidiaries",Tax
17.5 5.3 Standard DD.xls,"Copies of all consents and agreements with any tax authority executed by the Company, including tax credits and other government incentives",Tax
17.5 5.3 Standard DD.xls,"Description of all pending and threatened disputes involving any Company with any tax authorities and copies of all material documentation, reports, audits, correspondence, etc. relating to pending federal, state or other tax proceedings, assessments or investigations",Tax
17.5 5.3 Standard DD.xls,"Copies of any federal and state income tax deficiency notices, audits or settlement proposals and any agreements waiving any statute of limitations or extending any time period involving the Company or its subsidiaries",Tax
17.5 5.3 Standard DD.xls,Copies of all written tax sharing or tax benefit agreements involving the Company,Tax
17.5 5.3 Standard DD.xls,Copies of all tax receipts paid over the last (3) years,Tax
17.5 5.3 Standard DD.xls,Copies of auditors’ letters to management relating to the Company for the last (3) years,Tax
17.5 5.3 Standard DD.xls,"Copies of all tax opinions, memoranda or letters received from external tax counsel in the past (3) years in respect of the Company",Tax
17.5 5.3 Standard DD.xls,Claims History for the past (5) years,Tax
17.5 5.3 Standard DD.xls,"Copy of any analysis of the Company’s insurance program or requirements by an insurance broker, agent or consultant or by in-house risk management staff",Tax
17.5 5.3 Standard DD.xls,"Description of any self-insurance, fronting, risk-retention or captive insurance program of the Company, and all actuarial studies related thereto","Legal, HR"
17.5 5.3 Standard DD.xls,"Description of product liability, workers compensation and other insurance claims history for the last (4) years including the date of claim, nature of loss and payment or reserve","Legal, HR"
17.5 5.3 Standard DD.xls,"Copies of all existing employment contracts, including copies of all stay bonus agreements or arrangements, severance obligations, and of any forms of contract used in international operations, including any employment contracts or arrangements required by any foreign law, together with an identification of the classes and numbers of employees party thereto",HR
17.5 5.3 Standard DD.xls,"List of employees, including position, term of service and compensation levels (including incentive compensation separately identifying base salaries and bonuses)",HR
17.5 5.3 Standard DD.xls,"Brief biographies of key management describing age, education, previous work experience, years with the Company, years in the industry, summary of responsibilities, and compensation.",HR
17.5 5.3 Standard DD.xls,Description and valuation of pension liabilities.,HR
17.5 5.3 Standard DD.xls,Summary of retiree medical liabilities,HR
17.5 5.3 Standard DD.xls,List of individuals with “consultant/independent contractor” detailing services rendered and fees for the last (2) years,HR
17.5 5.3 Standard DD.xls,"List and copies of all material notices, information requests, filings, permits, licenses, approvals and certificates obtained or required to be obtained from federal, state, local or foreign governmental authorities or agencies, or any other approvals or permits required to be held, in connection with the Company’s business, including expiration date and status",HR
17.5 5.3 Standard DD.xls,"Copies of any reports filed with local, state, federal or foreign governmental authorities or agencies during the last (4) years, and copies of all correspondence to and from governmental authorities relating to the matters described in the item above",HR
17.5 5.3 Standard DD.xls,"Description of any allegation or claim that the Company is acting in violation of any law, regulation, ordinance or other requirement of any federal, state, local or foreign governmental authority, including, but not limited to, laws and regulations relating to antitrust and trade practices, occupational safety and health, equal employment opportunity, zoning or customs. Copies of all notices, reports and correspondence with respect to any of the foregoing",Legal
17.5 5.3 Standard DD.xls,All audit response letters from attorneys to the independent public accountants regarding civil and administrative litigation in which the business has been involved for the past (3) years,Legal
17.5 5.3 Standard DD.xls,"Information about acts or facts, which may give rise to judicial or administrative proceedings",Legal
17.5 5.3 Standard DD.xls,"All other material contracts, agreements, guarantees or other arrangements not otherwise covered by the foregoing",Legal
17.5 5.3 Standard DD.xls,Describe any other material contractual limitations to the participation of any of the vendor’s businesses in the Transaction,Legal
17.5 5.3 Standard DD.xls,Documentation regarding payments of royalties for the last (3) years,Legal
17.5 5.3 Standard DD.xls,List of sales agents/distributors ranked by sales,Sales
17.5 5.3 Standard DD.xls,"Sales and volumes by major product category and by distribution channel by month for this year to date and monthly for the past (3) years, and forecast for the next (2) financial years",Sales
17.5 5.3 Standard DD.xls,"List of top (10) customers for the relevant periods and relevant sales, discounts/rebates/incentives and profitability copies of all supply agreements with customers (long term supply agreements)",Sales
17.5 5.3 Standard DD.xls,Description of arrangements with advertising agencies and creative houses,Marketing
17.5 5.3 Standard DD.xls,"List of advertising expenditure, avenues and other marketing-related efforts",Marketing
17.5 5.3 Standard DD.xls,Management or factory accounts per month,Finance
17.5 5.3 Standard DD.xls,General ledgers,Finance
17.5 5.3 Standard DD.xls,Details of changes in accounting principles or method for the last five years and most recent interim period,Finance
17.5 5.3 Standard DD.xls,"Details of off-balance-sheet financing arrangements or other transactions that are not reflected on the financial statements, if applicable",Finance
17.5 5.3 Standard DD.xls,Pricing details,Sales
17.5 5.3 Standard DD.xls,Accounting department organizational chart,HR
17.5 5.3 Standard DD.xls,Copies of management letters regarding internal controls from external auditors and any internal audit reports for the last five years,Tax
17.5 5.3 Standard DD.xls,"List 10 largest suppliers, by revenue and product for last five years",Finance
17.5 5.3 Standard DD.xls,Aging analysis and trends as at relevant dates by client; Days Sales Outstanding average for each of the last five years,Customer Success
17.5 5.3 Standard DD.xls,Analysis of allowance for uncollectible accounts and past write-offs for past 5 years,Customer Success
17.5 5.3 Standard DD.xls,"Claims History, previous 5 years",Legal
17.5 5.3 Standard DD.xls,Business Interruption values and calculations supporting BI cover,HR
17.5 5.3 Standard DD.xls,Broker renewal report for most recent renewal,Financial
17.5 5.3 Standard DD.xls,Loss control site inspection reports,Financial
17.5 5.3 Standard DD.xls,Approximate export values and volumes for marine cover,Financial
17.5 5.3 Standard DD.xls,"Summary of inventories by business units and broken down by finished goods, raw materials, and other supplies, by location as at the relevant dates",Financial
17.5 5.3 Standard DD.xls,Inventory turn trends by business unit,Financial
17.5 5.3 Standard DD.xls,Details of inventories under consignment,Financial
17.5 5.3 Standard DD.xls,Obsolete inventory provisions and methodology,Financial
17.5 5.3 Standard DD.xls,"Aging analysis of inventories including packaging materials, spare parts and consumables days inventory on hand","Financial, Product"
17.5 5.3 Standard DD.xls,"Summary of inventory write offs for five years, including basis for book to physical adjustments cycle count results date of last wall to wall physical count of inventory and associated write offs",Financial
17.5 5.3 Standard DD.xls,"Summary of most significant raw materials purchased, including volumes by supplier, for five years",Financial
17.5 5.3 Standard DD.xls,Methodology for inventory costing and allocation of overheads to inventory,Financial
17.5 5.3 Standard DD.xls,Detail of financing arrangements involving inventory (if any) at relevant dates,Financial
17.5 5.3 Standard DD.xls,"Schedule of prepaid expenses and other assets (e.g. other current assets, investments, deferred charges, intangibles and amortization criteria) last five years and latest date",Financial
17.5 5.3 Standard DD.xls,Detail of goodwill as at latest date and amortization criteria,Financial
17.5 5.3 Standard DD.xls,"Schedule of material fixed assets including date acquired, original cost, accumulated depreciation, net book value, and appraised value as at the latest date",Financial
17.5 5.3 Standard DD.xls,Description of each plant or site,Facilities
17.5 5.3 Standard DD.xls,"Plant capability / capacity by asset, product group",Facilities
17.5 5.3 Standard DD.xls,Plant and equipment condition and compliance (including list of obsolete or unmaintainable),Facilities
17.5 5.3 Standard DD.xls,Site plans including size of buildings,Facilities
17.5 5.3 Standard DD.xls,Stream return information,Facilities
17.5 5.3 Standard DD.xls,Plant utilization by asset,Facilities
17.5 5.3 Standard DD.xls,Site ownership information – owned / leased?,Facilities
17.5 5.3 Standard DD.xls,Leased asset details and agreements,Facilities
17.5 5.3 Standard DD.xls,"Detailed schedule of capital expenditures and asset disposals by major category (machinery, MIS, buildings, etc.) for past five years and a detailed schedule of construction in progress",Facilities
17.5 5.3 Standard DD.xls,Capital expenditure budget for the current fiscal year,Facilities
17.5 5.3 Standard DD.xls,Depreciation methods and depreciable lives for each fixed asset category,Facilities
17.5 5.3 Standard DD.xls,"List of idle or under-utilized assets, including cost, depreciation and appraisals",Facilities
17.5 5.3 Standard DD.xls,Listing of maintenance expenses by location for the relevant periods,Facilities
17.5 5.3 Standard DD.xls,Recent appraisals,Facilities
17.5 5.3 Standard DD.xls,"All material leases of real property and all material leases of any personal property, either as lessor or lessee",Facilities
17.5 5.3 Standard DD.xls,Deeds or other evidences of title related to all real property owned,Facilities
17.5 5.3 Standard DD.xls,"Description and copies of all easements, liens, mortgages, pledges, restrictions, violations, covenants and agreements of any kind affecting any property (including assets) owned, leased or used",Facilities
17.5 5.3 Standard DD.xls,Description of any violation of any law or regulation or restrictions regarding zoning,Facilities
17.5 5.3 Standard DD.xls,Five year forecast for capital and R&M requirements,Facilities
17.5 5.3 Standard DD.xls,Copies of all agreements related to future asset purchases,Facilities
17.5 5.3 Standard DD.xls,Detailed listing of the components of accrued liabilities as at relevant dates,Financial
17.5 5.3 Standard DD.xls,Detailed listing of partner equity and reconciliation of total equity,Financial
17.5 5.3 Standard DD.xls,"Schedule of reserves, including litigation and contingencies as at relevant dates","Financial, Legal"
17.5 5.3 Standard DD.xls,Details of rebates or commission arrangements with suppliers and advertising agencies,Financial
17.5 5.3 Standard DD.xls,"Payment terms for key suppliers, and detail of past due payables, if any",Financial
17.5 5.3 Standard DD.xls,"Any other contractual commitments, such as purchase or sale commitments, capital commitments",Financial
17.5 5.3 Standard DD.xls,Schedule of lease obligations,Financial
17.5 5.3 Standard DD.xls,"Summary of short and long term debt showing principal holders, interest rates, maturities, amortization schedule",Financial
17.5 5.3 Standard DD.xls,Bank letters or agreements confirming material lines of credit,Financial
17.5 5.3 Standard DD.xls,"All documents and agreements evidencing financing arrangements (including sale and leaseback arrangements, installment purchases, equipment lease and sub-lease arrangements, etc.) that will continue after Closing",Financial
17.5 5.3 Standard DD.xls,List and description of guarantees rendered (if any),Financial
17.5 5.3 Standard DD.xls,"Employee headcount wage and hire date by business unit, by location and by major department",HR
17.5 5.3 Standard DD.xls,"Details of trade union representation, including historical level of influence",HR
17.5 5.3 Standard DD.xls,List of individuals with “consultant/independent contractor” detailing services rendered and fees for the last two years,HR
17.5 5.3 Standard DD.xls,Copy of latest actuarial valuation report and details of any unfunded liabilities for any pension plan,HR
17.5 5.3 Standard DD.xls,"A list of the total payroll, including, for example, labor duties, as well as fringe benefits, and documents representing any bonus, retirement, profit sharing, incentive compensation, pension and other employee benefit plan or agreements currently in effect",HR
17.5 5.3 Standard DD.xls,Details of provisions for vacations and 13th month salary (if applicable) as at latest date.,HR
17.5 5.3 Standard DD.xls,A description of any and all strikes and other labor disruptions and any claim of unfair labor practices or petitions filed with a government or regulatory agency,HR
17.5 5.3 Standard DD.xls,"Presentation of relevant certifies, issued by the respective competent authorities",HR
17.5 5.3 Standard DD.xls,Description and qualification of any potential liability for the technical redundancy arising out of the proposed transaction,HR
17.5 5.3 Standard DD.xls,Copies of all management contracts including details of any termination or retirement business payable,HR
17.5 5.3 Standard DD.xls,Copies of all employment contracts,HR
17.5 5.3 Standard DD.xls,Details of all key talent within the organization and job titles,HR
